date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:16:47	185041/185041	---M-Z	200	added ('OK')	text/html	etag:W/%228f04e354cdee6d4f7e84f4c1d74237a4--gzip%22	https://www.thecleaningcompanyva.com/	C:/Users/sifdo/Desktop/Santa_Barbra/www.thecleaningcompanyva.com/index.html	(from )
07:16:47	443/443	---M-Z	200	added ('OK')	text/plain	date:Mon,%2001%20Sep%202025%2016:39:10%20GMT	https://www.thecleaningcompanyva.com/robots.txt		(from )
07:16:48	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Tue,%2002%20Sep%202025%2004:16:49%20GMT	http://static1.squarespace.com/static/618712634cc9d14bd80427f3/t/6205bc7d430b3b7d5d9e6cdc/1644543105447/charlottesville+house+cleaning+services.jpg?format=1500w	C:/Users/sifdo/Desktop/Santa_Barbra/static1.squarespace.com/static/618712634cc9d14bd80427f3/t/6205bc7d430b3b7d5d9e6cdc/1644543105447/charlottesville+house+cleaning+services.026f7.delayed	(from https://www.thecleaningcompanyva.com/)
07:16:50	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/sifdo/Desktop/Santa_Barbra/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.thecleaningcompanyva.com/)
07:16:51	17396/17396	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2002%20Sep%202025%2004:16:51%20GMT	http://use.typekit.net/ik/sDcVYD4yujOt8cpG7nXTii6pgk6s1T5PYYFush8X6AMfeTSIfFHN4UJLFRbh52jhWDjU52SUwRjDFeFR5AbUFe4q52MXwRicwU77MkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1sGZAFCZAB0-Ao1jhNlSeB0pWZyO1FUiABkZWF3jAF8OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUX-emRdemydc80ZhFzdWgyd18hjPoRdhXCiey8jhU8jAoTdciRdhu3jAooicI0SaBujW48Sagyjh90jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBDOcu8OYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoX-emRdemydc80ZhFzdWgyd18hjPoRdhXCiaiaO1sGZAFCZAB0-Ao1jhNlSeB0pWZyO1FUiABkZWF3jAF8OcFzdPJbjAszjc9ljhBDdeN0OWgkdkG4fH4fIMMjgfMfH6qJTIJbMg6YJMJ7fbKRbyMMeMt6MKG4fHmfIMMjIPMfqMYgl_cFg6.js	C:/Users/sifdo/Desktop/Santa_Barbra/use.typekit.net/ik/sDcVYD4yujOt8cpG7nXTii6pgk6s1T5PYYFush8X6AMfeTSIfFHN4UJLFRbh52jhWDjU52SUwRjDFeFR5AbUFe4q52MXwRicwU77MkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBuj	(from https://www.thecleaningcompanyva.com/)
07:16:53	43791/43791	---M-Z	200	added ('OK')	text/javascript	etag:%228aafaf98a6c7fccafddca1140e4bc908%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-997c77e9abf4ed4b-min.en-US.js	C:/Users/sifdo/Desktop/Santa_Barbra/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-997c77e9abf4ed4b-min.en-US.js	(from https://www.thecleaningcompanyva.com/)
07:16:55	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/sifdo/Desktop/Santa_Barbra/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.thecleaningcompanyva.com/)
07:16:56	91514/91514	---M-Z	200	added ('OK')	text/javascript	etag:%2272b00f074b6cfeb6696a436073ce428b%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c5175d8ac6fd7505-min.en-US.js	C:/Users/sifdo/Desktop/Santa_Barbra/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c5175d8ac6fd7505-min.en-US.js	(from https://www.thecleaningcompanyva.com/)
07:16:59	62711/62711	---M--	200	added ('OK')	image/jpeg	etag:CLHM1bvA9vUCEAE=	https://images.squarespace-cdn.com/content/618712634cc9d14bd80427f3/1644543101495-AN2LAHSYQ0D6ZPLUTO73/charlottesville%2Bhouse%2Bcleaning%2Bservices.jpg?content-type=image%2Fjpeg	C:/Users/sifdo/Desktop/Santa_Barbra/images.squarespace-cdn.com/content/618712634cc9d14bd80427f3/1644543101495-AN2LAHSYQ0D6ZPLUTO73/charlottesville+house+cleaning+servicesee8a.jpg	(from https://www.thecleaningcompanyva.com/)
07:17:00	857780/857780	---M-Z	200	added ('OK')	text/javascript	etag:%2295e588ae39cdec31508f47e3cc14a6d4%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	C:/Users/sifdo/Desktop/Santa_Barbra/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	(from https://www.thecleaningcompanyva.com/)
